lambda_vector;mu_a_Oxy;mu_a_Deoxy;mu_a_Fat;mu_a_Water;mu_a_Mel;mu_a_Baseline;mu_a_StratumCorneum;mu_a_Epidermis;mu_a_PapiDermis;mu_a_UpBloodDermis;mu_a_RetiDermis;mu_a_DeepBloodDermis;mu_a_FatDermis
828;0.000521208;5.21E-08;7.99E-05;2.98E-06;0.012662018;2.47E-05;1.39E-05;0.000273121;3.06E-05;9.53E-05;2.62E-05;5.13E-05;9.04E-05
829;0.000523584;5.24E-08;8.02E-05;3.04E-06;0.012611227;2.47E-05;1.39E-05;0.000272112;3.07E-05;9.58E-05;2.64E-05;5.16E-05;9.07E-05
830;0.00052596;5.26E-08;8.03E-05;3.09E-06;0.012560701;2.47E-05;1.39E-05;0.000271109;3.08E-05;9.62E-05;2.65E-05;5.18E-05;9.09E-05
831;0.000528336;5.28E-08;8.03E-05;3.14E-06;0.012510438;2.47E-05;1.39E-05;0.000270109;3.09E-05;9.66E-05;2.66E-05;5.20E-05;9.10E-05
832;0.000530712;5.31E-08;8.01E-05;3.18E-06;0.012460437;2.47E-05;1.39E-05;0.000269115;3.10E-05;9.71E-05;2.67E-05;5.23E-05;9.10E-05
833;0.000533088;5.33E-08;7.94E-05;3.23E-06;0.012410694;2.47E-05;1.40E-05;0.000268126;3.11E-05;9.75E-05;2.68E-05;5.25E-05;9.05E-05
834;0.000535464;5.35E-08;7.85E-05;3.28E-06;0.01236121;2.47E-05;1.40E-05;0.000267142;3.12E-05;9.79E-05;2.69E-05;5.27E-05;8.98E-05
835;0.000538056;5.38E-08;7.75E-05;3.33E-06;0.012311982;2.47E-05;1.40E-05;0.000266164;3.13E-05;9.84E-05;2.70E-05;5.30E-05;8.91E-05
836;0.000540648;5.41E-08;7.64E-05;3.37E-06;0.012263009;2.47E-05;1.40E-05;0.00026519;3.14E-05;9.89E-05;2.72E-05;5.33E-05;8.83E-05
837;0.000543456;5.43E-08;7.57E-05;3.45E-06;0.012214288;2.47E-05;1.41E-05;0.000264228;3.16E-05;9.94E-05;2.73E-05;5.35E-05;8.78E-05
838;0.000546264;5.46E-08;7.51E-05;3.53E-06;0.012165819;2.47E-05;1.41E-05;0.00026327;3.17E-05;9.99E-05;2.75E-05;5.38E-05;8.74E-05
839;0.000549072;5.49E-08;7.39E-05;3.60E-06;0.0121176;2.47E-05;1.41E-05;0.000262318;3.18E-05;0.000100441;2.76E-05;5.41E-05;8.65E-05
840;0.00055188;5.52E-08;7.26E-05;3.68E-06;0.012069629;2.47E-05;1.42E-05;0.000261371;3.20E-05;0.000100964;2.78E-05;5.44E-05;8.55E-05
841;0.000554688;5.55E-08;7.15E-05;3.74E-06;0.012021904;2.47E-05;1.42E-05;0.000260426;3.21E-05;0.000101478;2.79E-05;5.47E-05;8.47E-05
842;0.000557496;5.57E-08;7.03E-05;3.81E-06;0.011974425;2.47E-05;1.42E-05;0.000259486;3.22E-05;0.000101993;2.80E-05;5.50E-05;8.38E-05
843;0.000560304;5.60E-08;6.92E-05;3.87E-06;0.011927189;2.47E-05;1.43E-05;0.000258551;3.23E-05;0.000102508;2.82E-05;5.53E-05;8.30E-05
844;0.000563112;5.63E-08;6.85E-05;3.94E-06;0.011880196;2.47E-05;1.43E-05;0.000257621;3.25E-05;0.000103023;2.83E-05;5.56E-05;8.26E-05
845;0.000565056;5.65E-08;6.78E-05;4.00E-06;0.011833442;2.46E-05;1.43E-05;0.000256696;3.26E-05;0.000103391;2.84E-05;5.58E-05;8.20E-05
846;0.000567;5.67E-08;6.69E-05;4.08E-06;0.011786928;2.46E-05;1.44E-05;0.000255779;3.27E-05;0.000103771;2.85E-05;5.60E-05;8.14E-05
847;0.00056808;5.68E-08;6.61E-05;4.17E-06;0.011740651;2.46E-05;1.44E-05;0.000254867;3.27E-05;0.000104004;2.86E-05;5.61E-05;8.07E-05
848;0.00056916;5.69E-08;6.51E-05;4.25E-06;0.01169461;2.46E-05;1.44E-05;0.000253961;3.28E-05;0.000104237;2.87E-05;5.63E-05;7.99E-05
849;0.00057024;5.70E-08;6.43E-05;4.33E-06;0.011648804;2.46E-05;1.45E-05;0.000253058;3.29E-05;0.00010447;2.88E-05;5.64E-05;7.93E-05
850;0.00057132;5.71E-08;6.37E-05;4.38E-06;0.01160323;2.46E-05;1.45E-05;0.000252154;3.29E-05;0.000104683;2.89E-05;5.66E-05;7.89E-05
851;0.0005724;5.72E-08;6.33E-05;4.43E-06;0.011557888;2.46E-05;1.45E-05;0.000251255;3.30E-05;0.000104896;2.90E-05;5.67E-05;7.86E-05
852;0.00057348;5.73E-08;6.32E-05;4.48E-06;0.011512777;2.46E-05;1.46E-05;0.00025036;3.31E-05;0.000105109;2.90E-05;5.68E-05;7.85E-05
